comments,stars
为什么表妹撕了你刚拿到的结婚证你都不生气 因为那是你女儿啊 ,2
这个底太好了 比起以往穿越片的个人救赎迈的更深了一步 本以为影片会如同以往的俗套一般会终结在 希望孩子健康快乐 上 没想到结尾以针线为引 将 无论你在哪里我都会找到你并且保护你 的母爱穿进了观众的心里 以个人故事为本 动了真情的贾玲担得起导演的称呼 在喜剧元素上 影片也做的十分自然 不刻意不尴尬 更是在演员的选角上玩出了花 乔杉和贾玲的父女堪比去年黄渤和彭昱畅 ,2
贾玲以年代穿越设定 温情喜剧的形式 为自己离开的母亲打造了一场缅爱的仪式 笑梗包袱 不仅是裹住内在情感的调和剂 也是一种回望心中伤口时的疗愈方式 对创作者与观众之间有着双向互通的意义 时空错位的背后 是已然失去的 不能继续陪伴的遗憾 唯一一部带妈妈看的春节档电影 确实是个应景的选择 她全程情感代入到了跌宕起伏的地步 ,2
实话实说我哭抽抽了  看见张小斐想喊声妈的程度,2
散场以后我挎着妈妈散步回家 我想着她 她应该想着她妈妈吧 ,2
大家来看这一部吧 别看唐3了,2
久违的让我又哭又笑的作品 有许多可爱的笑话 看哭三次 朴实又深情 电影结束在想 如果我可以穿越到妈妈年轻的时候 可能会告诉她一定要很多书 只为自己活 即使一辈子不结婚也要去争取幸福的权利 ,2
节奏感好 是贾玲天生的喜剧天赋 最后十分钟反转直接泪崩 为什么 因为我们每个人 30岁以上 都对妈妈有愧 这种愧疚 我们只能躲在电影院 幽暗的空间放声大哭 走出影院的那一刻 心变得又柔软一点 ,2
不是我拉男女对立啊 当屏幕上出现  贾玲 执导 字样的时候 就比起那些拍了几个直男癌片子就写     导演作品 的 要真诚多了   作品 这个词是自己叫的吗  ,2
以为穿越是为了改变她的人生轨迹 竟然只是了却自己的遗憾 原来从天而降的大胖妞无论有多重 她都会毫不犹豫接住她的宝儿 裤子无论多破 她都会缝成小熊 今生母女一场 只能化作目送 以为她希望我有出息 原来她只需要我平安 以为她想换个女儿 原来她从没后悔 以为多了解她 原来还是误会了她 ,2
好看 这是一部贾玲送给她妈妈的电影 也是一部充满女性意识的电影 你可以带着自己的妈妈去看 绝对能够从其中获得很多感悟 贾玲也是一个非常有才华的演员 整部片子非常搞笑 很多地方都非常戳我的笑点 但也是泪点笑点兼具 有很多让人意想不到的细节 尤其是结尾 神反转 所以不要被剧透 一定要亲自去看 春季档强烈推荐 ,2
贾玲哭的时候很明显没有在演戏 这是最让人伤心的 ,2
 我的女儿 只要她健康快乐就行了  本来以为只是贾晓玲穿越回了1981年 没想到原来2001年的李焕英也穿越回了20年前 这里真的设计得太巧妙了 重来一回 李焕英还是会选择当玲儿的妈妈啊 开头李焕英看见从天而降的玲儿 下意识地就要去接住玲儿 这就是母爱吧 这种感情可能真的只有母女会懂吧  前半部分贾玲沈腾真的好好笑哈哈哈哈哈哈哈  贾玲在影片里用了好几次华仔的歌 不愧是华仔的真爱粉  啊对 通过黑白照片染色这一方式呈现画面也蛮有创意  哭笑交叉的一部电影 ,2
这并不是一个穿越的故事 而是是一个母亲在弥留之际创造出来安慰女儿的梦 真的特别特别特别好 贾玲值得 9 10 ,2
如果你要陪长辈看电影的话 那就看这部吧 基本上就是贾玲版的 夏洛特烦恼  完成度很好 笑点和泪点都到位 感觉会是春节档期大众口碑最坚挺的一部电影 一开始你以为这是一个熟悉的穿越设定 最后一反转 你会发现这不仅仅是一次穿越 而穿越的背后正应了母女情的主题 完了结尾的字幕又补了一刀 原来这是贾玲自己的经历 用这样一部电影去追忆母亲年轻时的样子 穿越回八十年代 从工厂记忆 女排比赛 黑白电视到祖父悖论 都是能引发几代人共鸣的设计 以前都是看贾玲笑 这次是看贾玲哭 很多人却是跟着她笑着哭 ,2
"贾玲第一次当导演就能拍出这水准的片子 可见用心和不用心做事的区别到底在哪里 我觉得做春节烂片的导演们真的该好好反省反省 故事虽然有点像某个电视剧的剧情 但也不全是一样 加上看得出来贾玲确实放了真情实感 后面的回忆杀真的让人泪目 前半段的笑点也很多 划船那段真的笑到打滚 沈腾贾玲真的是喜剧质量的保证 而且演员们的演技还是都不错的 值得去电影院支持 ",2
 我的女儿 只要健康快乐就行了  神不能一直在 所以创造了妈妈,2
让她再选一次 她还是义无反顾的选择了有你的人生,2
感谢贾导 感谢李阿姨 是你的女儿阻止了 唐3 这种烂片成为2021年春节档票房冠军 她永远是您的骄傲 ,2
咋说呢 贾玲太牛了 不玩梗的那种搞笑 一点都不低俗 但是笑点通俗易懂 演员也都特别好 而且有一个点很戳我 就是后面暗示了王琴的发达不是因为靠男人 中国就是应该多有这样的思想纠正啊  催泪的地方也容易产生共情 后半段我一边哭一边骂 这特么咋没完没了了  然后继续哭    好了好了 我爱我妈妈 虽然我们也会吵架 但是我很爱她 一直爱她,2
没有预料到的剧情 大年初一大家一起在电影院哭一场    ᵒ       ᵒ         所以她妈到底有没有想过走另一条路呢贾玲不知道也没人会知道了 ,2
新年第一部觉得最值得五星的片子 很好笑也很好哭 阳光下张小斐穿百褶裙真的漂亮 打排球真的飒  另 沈腾叔叔的表演让我相信雪姨阿姨是靠自己让她女儿去米国念书的  ,2
没想到李焕英后劲这么大 电影讲了一个非常朴素的价值观 妈妈在成为妈妈之前 首先是她自己 即使我们都长大可以照顾自己 但在未成家前 妈妈说少做一顿饭她也会感到愧疚 我说妈妈你可以不用感到愧疚 她说你是孩子 你不懂母亲 近几年很努力地在让我的妈妈有一点自己的想法 我问她你喜欢吃什么 你喜欢看什么 你喜欢穿什么 你休息的时候就好好睡觉 我拼命地告诉她除了是妻子和母亲之外 她首先先是她自己 她这一辈子为别人活太多了 但是我只想她为自己活 希望每一个妈妈都能收获自由 ,2
贾玲好棒 抢结婚证那里 结婚证被撕坏了 小斐眼里含泪的说 我这一生真的很幸福 你为什么就不相信呢 当时看的时候觉得很奇怪 后来全明白了 剧本好棒 拍的也很好 不过李焕英不管票房多少 她应该只想让贾玲健健康康 开开心心吧,2
我未来的女儿 我就让她健康快乐就行了    ,2
 你以为你已经很爱很爱妈妈了 其实妈妈比你想象中更爱更爱你  ,2
作为喜剧电影 贾玲 沈腾的效果 没得说 就是简单直接的 好看  前面所有的积累的笑点 在最后用一个非常精妙的反转把情绪点燃 看过小品的人也剧透不了电影 这个结尾 简直神来一笔 绝  喜剧之上的内核是女性导演视角下的女性角色 贾玲和李焕英之间 不仅是妈妈和女儿之间双向的爱 非常自然的 就是一个女性对另外一个女性的理解和关爱 希望对方高兴 快乐 是 就算我不出生也没关系 我就希望我妈开心我妈不受委屈 的心情  诚意十足的喜剧 真情实感的动人 意料不到的结局 以及还给妈妈青春和名字 ,2
又好笑又好哭 配得上8 3分的高分 里面的女演员都好漂亮啊 李焕英 王琴 艳华 还有麦收的女孩 都有让人眼前一亮的惊艳 不是千篇一律的美 是各有特色 各有力量的好看 女导演和女性凝视让电影无比舒服 ,2
 可是我妈还不会缝啊  自此开始眼泪止不住 ,2
建议以后的导演处女作学习一下 老老实实讲一个发自内心的故事 ,2
以为穿越是为了改变她的人生轨迹 竟然只是了却自己的遗憾 原来从天而降的大胖妞无论有多重 她都会毫不犹豫接住她的宝儿 裤子无论多破 她都会缝成小熊 今生母女一场 只能化作目送 以为她希望我有出息 原来她只需要我平安 以为她想换个女儿 原来她从没后悔 以为多了解她 原来还是误会了她 ,2
 你以为自己已经很爱很爱妈妈了 妈妈却远比想象中更爱更爱你 你以为自己是在为妈妈圆梦 没成想只是她陪你做了一场好梦  ,2
戴口罩看这种电影太反人类了 哭得口罩都湿了 糊在脸上好难受,2
我最忘情的哭声有两次 一次 在我生命的开始 一次 在你生命的告终 第一次 我不会记得 是听你说的 第二次 你不会晓得 我说也没有用 但两次哭声的中间啊 有无穷无尽的笑声 一遍一遍又一遍 回荡了整整三十年 你都晓得 我都记得   余光中 今生今世 ,2
一开始觉得冷特的角色多余 晓玲总要回来的 这样留下一段感情对冷特来说很残忍 后来反转了才明白根本不是穿越 是妈妈为晓玲创造的梦境 在妈妈创造的梦境里 为了抚平晓玲的自卑而创造了冷特的角色 妈妈想告诉女儿 她也值得被爱 ,2
让观众笑的同时还能笑中带泪 这不是靠技巧能做到的 贾玲在 你好 李焕英 里也不是靠技巧去和观众交流的 她是真掏心掏肺 心无杂念 这真的是她的人生 她的遗憾 她的渴望 普通观众在电影院里看到这种故事 根本抵挡不住 笑着笑着情不自禁眼泪就下来了 80 后也到了开始怀旧的年龄了 美好的 80 年代在好几部电影中都带着暖色滤镜出现了  不是那个年代真的有多好 那只是一代人再也回不去的理想国 光滑洁净的回忆 必定映衬的是坚硬冰冷的现在 为什么都开始怀旧了 因为意识到自己面对生活已经逐渐无能为力了 虽然可以刷抖音快手的短视频来暂时地麻醉自己 但你放下手机的同时就会忘记刚才自己在笑什么 真正能让一代人同悲共喜还走心的 还得是 电影  ,2
感谢贾玲 我们太需要女性视角的影视作品了 在女性眼里 女人不和性挂钩 不被凝视 所以不需要少女 不需要磨皮 滤镜 让人看的非常舒服 今年春节最佳了,2
7 8 10 强烈推荐 片子拍的真好 真正意义上的笑泪齐飞 超出预期太多 贾玲的情感太真了 看小品的时候就哭的稀里哗啦的 没想到看电影哭的更厉害 看的时候想起了我的母亲 共情力太强 最后一幕眼泪根本止不住 现在想起来心里还酸酸的 故事改编自贾玲亲身经历 当你带着诚恳的真挚的感情去拍片 观众一定会找到共情 相比那些带着虚假情感强行煽情的作品 贾玲的真情实感最打动人 ,2
本以为是女儿为母亲造的一场梦 却原来是母亲为女儿造的一场梦 我个人比较难get到贾玲的笑点 但是后半段一直哭到最后一张照片和字幕 妈妈也曾经是少女啊 ,2
在夏洛特烦恼的穿越梗用得已经烂大街的时候 贾玲用亲情再次焕发了生机,2
挺细腻的一部剧吧  以为是帮妈妈圆梦 其实是妈妈陪女儿回去帮她圆梦  我这一辈子过得挺幸福 你咋就是不信呢 ,2
从妈妈张开手喊着 我宝 去接人那瞬间开始 哭到停不下来 你以为自己已经很爱很爱妈妈了 想尽办法让她开心 其实她更爱更爱你 她包容你 守护你 甚至下辈子也舍不得让你当妈妈 笑点有 泪点足 反转到位 其实剧情的反转就是感情的反转 因此带来的触动是极大的 除了陈赫这个角色以及这条感情线略鸡肋 其他我觉得都很好 真诚永远是最打动人的 这部电影真的很用心 很真诚  8 2 ,2
看哪 贾晓玲考上了艺校 打铁娘子队赢得了新的搪瓷杯 王琴靠自己的努力过上了更好的日子 而李焕英 她得到了一次重返青春的机会 真好 这些女孩都有光明的未来 而这也就是中国电影需要更多女性视角的原因  理性角度来看 这部电影自带的一些争议以及很多稚嫩的处理手法 确实不应该拿到五星 但是揉揉自己哭肿了的眼睛 我确实没办法公正的打分 一颗心都捧出来给观众看了 这不叫技巧性煽情 而叫真诚  每位演员的表现都让这个剧本变得更加熠熠生辉 包括热评里觉得多余的一些角色的演员  而这部电影也证明了 不用一些带有性别倾向的梗 无贬低之意  也能让人发自内心地笑出来 最后表白结尾的文字 每个母亲 都曾经是少女 而在母亲这个身份之前 请不要忘记她是一个独立的人 ,2
你穿越回去想尽办法让妈妈开心 实际上是妈妈把你拉进梦里安慰你 让你知道 不要自责 有你她很开心,2
那句 我宝 真是让我眼泪都要下来了,2
是我泪点太低了吗 一直哭一直哭 最后那一段哭疯了 唉我的眼泪真不值钱      本片重点不在于子欲养而亲不待 而是即使重来 依然是你 ,2
电影的所有呈现 打四分其实就可以了 但是多出来一星要给到女导演视角下的女性主题 完全没有让人有任何不适 拉踩隔壁某探3  没有刻意制造的笑点更没有刻意制造的哭点 一切都是很自然的发生了然后触动观众 这很难得 好喜欢贾玲 有谁会不喜欢贾玲呢 ,2
看完之后感觉可能是春节档最好看的吧   有泪有笑 这不是一个人的感觉 是整个影厅的反馈,2
女性导演还是会更细腻一些 结局并没有刻意要所谓的 圆满  贾玲第一次导戏非常成功啊 ,2
什么电影手法 在真挚感人面前不重要,2
这是这几年看到的国产影片中 从头到尾让人感觉最舒服的 这应该和导演及编剧是以贾玲为中心的女性团体有关系 在脱离了男性凝视 在不用女性当工具人的电影中 女演员的魅力被无限放大 不知道男观众如何想 但是作为女观众完全感受到了 那种仿佛闪着光的被超放大的魅力 把李焕英不只是作为母亲 更多作为一个飒利的女性的角色呈现在观众面前 ,2
李焕英阿姨 您女儿可太棒了 她真的好爱您 也真的很遗憾妹让您坐上敞篷车 看着她现在事业有成 我也好爱我的妈妈 希望您保佑所有妈妈都健康平安 长命百岁,2
贾玲和他爸的乔杉真像啊 ,2
如果没有最后二十分钟 这部电影也就是一般只能打五分的程度 贾晓玲吃着包子忽然意识到什么开始哭 然后前几十分钟铺垫的情感一泻千里 哭得我撕心裂肺 结构能让内容翻倍地表现出来 另外 女性视角的女性真的太美好了 不只是张小斐 中年妈妈和阿姨也很可爱,2
有时候不需要太深的立意 故事流畅 人物真诚就很足够了,2
太意外了 意外的好看 影片喜剧成分的编织就不多说了 这本来就是贾玲的强项专长 不过在剧情的伏笔和安排上 却让人看到了真诚的真情 真挚的真实  影片取材的灵感来自于贾玲和母亲李焕英的真实故事 贾玲正是为了怀念因为去世的母亲 才有了做这电影的冲动 结尾的处理真的让人破防 这是一部不能剧透的电影 推荐去影院感受那种笑中带泪的氛围 相信能唤起大家的家庭共鸣 尤其是带着父母去看 效果倍佳  贾玲作为一位新人导演 这次成绩单交得真的棒 ,2
你好李焕英或是春节档最佳,2
贾晓玲从天上掉下来李焕英 我的宝啊 小小瘦瘦的冲过去一下子戳到我了,2
得知两个人一起穿越 很催泪 想要用手接住从天而降的女儿那个画面也是泪点,2
诚然这部电影有很多不足之处 但它是唯一一部后劲大到让我看完还哭了俩小时的片 我中途还纳闷过为什么李焕英脾气那么好 晓玲把她的结婚证撕了她都不生气 后来揭晓原因时我已经泣不成声 对于电影 技巧只能加分 真情才最动人 ,2
贾玲现在不仅健康快乐 还出息了 焕英阿姨你看到了吗,2
其实影片前面部分很一般 最多3星 但确实最后情真意切 加一星,2
完虐隔壁姓唐的好么 ,2
多一星给最后的反转,2
没想到这么好笑 非常北方的本子放到极其南方的环境里 也是全场嘎嘎乐 旁边大哥捂嘴拍腿地笑 都听出了颤音 我要是贾玲 肯定特有成就感 15分钟扩成长片 注的都是实实在在的梗 很多时候节奏故意错拍 一个个却又回马枪似的戳人笑点 贾玲真是个可人儿 带着一群喜剧人 老戏骨 还有张小斐这对我而言的小黑马 整个故事都活泛起来 笑够了 又没有那种尴尬的廉价的煽情堵着 只觉人生一场 能有这么通达的母亲 不求增光添彩但愿健康快乐 怎么都会心头一软 其实一开始很感叹 曾经阳光灿烂的青春少女 怎样被生活磨成孩子眼中疲惫不堪的中年妇女 但慢慢更会觉得 不只是人被磨损 还有两代人本难靠近的距离 把许多视角都给折射出异样角度 趁时光还能好 希望大家彼此都能享有这许多喜悦 好了 我要跟家人吃午饭了 ,2
大过年的 一家人看一部有笑声 有泪点的电影 出了电影院还能一起开心地聊聊 还有比这更适合过年的吗 ,2
玲啊 真好 真好啊   妈妈飞扑过去接住女儿时喊出地那句  我宝  直接让我在电影院把眼泪流进了衬衣  真诚的编导才能换取观众的真心 打动观众的故事才能称得上好故事 中国喜剧能拥有这样一群创作者实在是非常幸运 ,2
要说贾玲才华横溢那肯定是没有的 这部电影也确实像一个大型小品 但是以近年的喜剧片横向比较 至少这部基本没有那些低俗笑话 虽然离高级幽默还有距离 但足以为同行表率 在悲剧内核里嵌入喜剧是本片成功的重要前提 而这悲剧不仅在于对主角的同情而更多是共情 就再给影片增加了后劲 结尾显得长而直白的煽情是减分项 我想说导演不要太低估观众 最好的表达方式不一定要说出来 让悲剧在喜剧性之下涌动可能更好 ,2
女导演太棒了 喜剧并不是一定要黄段子  前面合家欢喜剧尬点很少 后面猝不及防的高潮呜呜呜呜呜呜 世上只有妈妈好 ,2
 你好 李焕英 是一部好电影 好就好在不可复制 它的戏剧结构和那些穿越作品都是不一样的 穿越作品或者是与过去的自己和解  夏洛特烦恼   或者是与过去的父母和解  乘风破浪    你好 李焕英 的特殊之处在于 女主穿越过去时就带着要帮年轻的李焕英完成心愿 让年轻的李焕英更开心的目的 换句话说 它在带着观众用主角视角完成着他人的故事 戏剧压力事实上来自主角在试图解决他人的困境 甚至做出了主角巨大的自我牺牲 李焕英是导演兼主演的贾玲现实中的母亲 情绪和信念是不需要表演就能达成的 换了一个导演和演员来做 一定会有大量的戏剧调整 但它也许反而不能真正打动人 因为情绪不够真 所以 你好 李焕英 是一部好电影 当一个导演敢于把最真实的情绪掏出来时 电影就不可复制了 它好就好在不可复制 ,2
真情动人,2
前面笑到人仰马翻 结尾哭到无法呼吸 贾玲对妈妈的爱在电影里淋漓尽致的展现 忽然觉得拍好一部电影或许真的不是那么难的事情 你看贾玲就做得挺好,2
很温暖 导演能力一般 但感情无比真挚 我几乎觉得这并不是在演戏 而是完全打开式的在分享自己 看到贾玲在电影里失控般哭泣 我无法不流泪 热泪盈眶 ,2
女性主义的电影 描绘的每一个女性角色都很可爱 我喜欢王琴阿姨 看到电影最后她是靠自己的努力工作抓住机遇才得到后面富裕的生活 就很庆幸贾玲没有让这个角色流于俗套 整部电影最巧妙的地方就是在于最后一部分  双穿越 确实催人泪下 但是父母真的对孩子没有要求吗 我想并非天下父母都是如此 但是真挚的感情可以打动人 ,2
前面100分钟笑点密集 笑得人仰马翻 后面从贾玲奔跑那里没忍住看哭了 全片没有拉垮的演员 满分好评 ,2
当你以为自己和电影中的贾玲一样拥有一个全知视角时 可能正是你要被这部电影深深催泪的时刻 电影最后 当另一个我压根就没有预料到的视角被打开的那个瞬间 我的眼泪就止不住了 真的太感人了 ,2
3 5 之前从来没觉得乔杉和贾玲长得这么像 ,2
有一个影评人说过 其实好作品没有什么标准 只要她打动了你 就是好作品 张小斐那句 我宝 出来我都哭抽抽了 无论在哪里 妈妈的本能就是保护孩子 BTW我真的无法正视沈腾了 他不说话站在那我就很想笑,2
好真诚 诚恳得不像一部电影 像是一首散文诗 ,2
 打我有记忆起妈妈就是个中年妇女的模样 所以我总忘记妈妈曾经也是个花季少女   ,2
好好笑啊  而且没有令人不适的颜色笑话 女性视角就很棒   虽然有点煽情但是不妨碍好笑,2
故事说不上新颖 可是母亲这个点总是能打动人 希望每个做母亲的女生记得对自己好点 不要牺牲不要伟大 让自己开心快乐很重要 ,2
诚意之作 希望往后能多一些这样的电影 少一些圈钱工业垃圾 没错 说的就是陈思诚 ,2
让这部电影挂在中国影视的前列 告诉所有电影人 电影是抒发自己情感引起全国共鸣的好办法 质朴的手法 真挚的感情就能获得观众的理解 ,2
最美好的一幕是贾玲在山坡下 看着她爸骑车奔向她妈 我就想着 我也愿意去我妈的年轻世界里走一走 ,2
上映前评价不好 我就觉得就当爆米花搞笑剧图一乐吧 看到一半觉得这绝对算搞笑剧里的一流作品 看到最后 我错了我全错了 这一流喜剧啊 好笑但又戳泪点 而且这泪点真的不是一哭即完 还有片尾那些话让我回顾起剧情更难受了 说贾玲靠妈赚钱的能消停会儿不 ,2
想让隔壁唐探3编剧瞧瞧   什 么 T M D 叫 反 转,2
没有想到这么好 一开始笑死 后来又哭死 结尾尤为动人 ,2
生女儿的妈看不了的电影 眼泪哗哗的 但是还是推荐阖家观看 贾玲说了这片 我把心都掏给你们看了    任何时候真心都是最打动人的 ,2
贺岁档基本都看过了 怎么说呢 这部片子的口碑真得感谢同行 不差 但也没有特别好  从另一个方面来说 真正用心用感情去拍一部电影 真的是可以弥补专业水平的不足 甚至可以打动观众的 相比之下 唐人街探案3 就输在这里 陈导很傲慢 砸钱就完了 贾导很真诚 只想记录一段平凡的母爱和想念 人民群众真正喜闻乐见的是什么 答案已经有了 电影不过是影人和观众的交流 真诚的情感可能不会被所有人接受 但空洞的生意不会被任何人共情  我也曾想过 如果母亲不用为我牺牲 会不会成为更伟大的人 或许会吧 但她就不会成为一个伟大的母亲了 我又何必帮她做出选择 我能选择的只有如何回报她,2
其实如果从电影的角度来说 五星是肯定不到的 四星顶多吧 但从整部电影的情感来说的话 真的太真挚了 我相信贾玲一定是把那个充满了遗憾的自己刀剐了千百遍 抚慰了千万遍 把见母亲最后一面的一幕想象了无数遍 才能产出如此真诚的一部电影  当然 导演水平挺普通的 艺术性也基本没有 但真的就胜在了真诚 嗯   确实很好哭 也挺好笑的 但有些笑点还是比较冗杂 ,2
 我宝 那一句真的泪奔了 五星好评 前面笑点不尬 后面反转真的流泪了 ,2
 可是我妈现在还不会 这句话出现后的转折是我怎么也没想到的 一贯的思路都以为只有晓玲自己穿越回去希望能让年轻的妈妈更加高兴 谁可知母女两人一起穿越回去了 这是这部电影最大的转折 也是全片泪点开始 让老套的穿越剧更加新颖 挺中规中矩的一部片却也很特别 母爱一个讲到烂的题材 可是这部电影还是刷新了大家的印象 妈妈怎么会不爱自己的孩子呢 ,2
这应该是贾玲作为一个女儿最极致的浪漫了 千千万万走到电影院的人 去了解李焕英 纪念李焕英的同时 想起总是被我们忽略的母亲 ,2
张小斐喊出哪句 我宝 的时候,2
哭瞎了 啊 女孩子真好啊 又甜又暖,2
不太是电影的视听语言 像是抻长了的好几个小品 但沈腾贡献了很好笑的表演 以及妈妈对女儿的爱永远比女儿对妈妈的爱更多这个题眼还是很动人的 是强烈的抱憾的女儿视角 在穿越回去的那场母女对谈中 双方都心知肚明 但都打着哑谜 女儿希望母亲幸福 即便这样的幸福图景中没有自己 母亲希望女儿健康 即便时光倒流也从未对当时的选择感到后悔 从未想过没有这个女儿的人生何以可能 希望这样题材的电影越来越多 母女之间的共情和联结 是一个眼神 些许沉默 无数眼泪和一声叹息 ,2
这是一个感人的故事 但不是电影 非常真诚的故事 但不是电影 ,2
因为在隔壁唐探3的对比之下 我必须给李焕英一百零一分  当然这个电影很多笑点是有点像小品 但是这不比隔壁屎尿屁好看多了 我就踩一捧一了 我就要高举李焕英大旗 赶紧给我冲冲冲 票房超过隔壁吧 要不然我会气死   妈 你怎么那么爱笑啊    因为妈生了你啊    你以为你很爱妈妈了 但其实妈妈比你想象地更爱你    另外建议陈思诚来学习一下什么是母爱 学习一下人家最后半小时是怎么升华怎么反转的  ,2
